product_name,rating_count
"Amazon Basics High-Speed HDMI Cable, 6 Feet (2-Pack),Black",426973.0
"Amazon Basics High-Speed HDMI Cable, 6 Feet - Supports Ethernet, 3D, 4K video,Black",426973.0
"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",426973.0
"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",426972.0
boAt Bassheads 100 in Ear Wired Earphones with Mic(Furious Red),363713.0
boAt Bassheads 100 in Ear Wired Earphones with Mic(Taffy Pink),363713.0
boAt BassHeads 100 in-Ear Wired Headphones with Mic (Black),363711.0
"Redmi 9A Sport (Coral Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery",313836.0
"Redmi 9 Activ (Carbon Black, 4GB RAM, 64GB Storage) | Octa-core Helio G35 | 5000 mAh Battery",313836.0
"Redmi 9A Sport (Carbon Black, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery",313832.0